party,total_votes,seats
SDP,80131,6
KOK,66545,5
PS,62496,5
VIHR,23241,1
KESK,22010,1
VAS,21307,1
KD,16912,1
LIIKE,7899,0
VL,2926,0
LIBE,2080,0
RKP,937,0
KRIP,654,0
EOP,601,0
VKK,507,0
SKP,473,0
Piraattip.,450,0
SML,369,0
FP,151,0
Muut,94,0
SKE,83,0
